address,category,city,description,detail_url,district,email,images,item_id,list_snippet,name,phone,source_category_code,website,lat,lon
"Đường Điện Biên Phủ, Quận Thanh Khê, Thành phố Đà Nẵng",entertainment,Đà Nẵng,"Với tổng diện tích khuôn viên hơn 20ha, Công viên 29/3 có đầy đủ các khu vực hoạt động văn hóa, thể dục thể thao, khu yên tĩnh, khu vui chơi cho thiếu nhi bao gồm mặt hồ rộng kết hợp với cây xanh, cảnh quan và các công trình vui chơi giải trí tạo nên một vẻ đẹp rất hài hòa và đặc trưng. Đến công viên 29/3, mọi người dân thành phố, từ trẻ em đến các cụ già, đều có thể tìm cho mình một gốc riêng lý tưởng. Đối với người lớn, Công viên 29/3 là sân tập thể dục ngoài trời với không khí mát mẻ, trong lành; là nơi câu cá, thư giãn, chuyện trò với nhau sau những giờ làm việc căng thẳng. Đối với các bạn trẻ, công viên là địa điểm để tổ chức các hoạt động vui chơi, sinh hoạt tập thể; là nơi dã ngoại, cắm trại thú vị cho các bạn sinh viên trong thành phố. Đặc biệt, đối với các bé thiếu nhi, Công viên 29/3 là một thế giới kỳ thú, hấp dẫn với khu vui chơi và vườn bách thú. Đến công viên, các bé được tham gia các trò chơi vui nhộn như đu quay, xe lửa trên không, ô tô điện, nhà cười,...; được quan sát, tìm hiểu về đời sống của nhiều loài động vật như: khỉ, hươu, nai, trăn, cá sấu,...",https://csdl.vietnamtourism.gov.vn/vcgt/?item=39,Thanh Khê,,[],39,"Công viên 29 tháng 3 Địa chỉ: Đường Điện Biên Phủ, Quận Thanh Khê, Thành phố Đà Nẵng",Công viên 29 tháng 3,,vcgt,,16.063006,108.20546
"Đường Võ Nguyên Giáp, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",entertainment,Đà Nẵng,"Với ưu thế của một thành phố biển, những năm qua thành phố tổ chức nhiều chương trình lễ hội nhằm thu hút đông đảo du khách đến với Đà Nẵng. Và công viên Biển Đông là một trong những địa điểm diễn ra nhiều hoạt động trong mùa lễ hội, trong đó đáng chú ý là chương trình “Điểm hẹn mùa hè” được tổ chức thường niên từ năm 2012. Với mặt bằng rộng thoáng, đây là nơi tổ chức các hoạt động thể thao trên biển như lướt sóng cùng jetski, cưỡi phao chuối, dù lượn trên không…; các vũ hội đường phố, liên hoan, ẩm thực và các tour khám phá bán đáo Sơn Trà như lặn biển ngắm san hô, câu cá cùng ngư dân, câu mực…Đây cũng là nơi thường xuyên diễn ra các cuộc thi đấu, chương trình nghệ thuật ngoài trời phục vụ người dân và du khách, trong đó có Cuộc thi Marathon quốc tế Đà Nẵng 2013, chương trình biểu diễn nghệ thuật Sachom (Hàn Quốc) hấp dẫn phần đông sự quan tâm theo dõi của giới trẻ thành phố.",https://csdl.vietnamtourism.gov.vn/vcgt/?item=42,Sơn Trà,,[],42,"Công viên Biển Đông Địa chỉ: Đường Võ Nguyên Giáp, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",Công viên Biển Đông,,vcgt,,16.07342,108.24568
"Nằm ở giao lộ đường Bạch Đằng và đường 2/9, Quận Hải Châu, Thành phố Đà Nẵng",entertainment,Đà Nẵng,"Công viên vườn tượng APEC hiện trạng ban đầu có diện tích khoảng 3.000m2, nằm trên khu đất hình tam giác bên cạnh cầu Rồng và trước Bảo tàng Điêu khắc Chăm, khánh thành ngày 9-11-2017. Công trình được hình thành khi thành phố Đà Nẵng đại diện nước chủ nhà Việt Nam đăng cai tổ chức Tuần lễ Cấp cao APEC năm 2017. Công viên làm nơi trưng bày các bức tượng điêu khắc đại diện cho các nền kinh tế thành viên APEC.",https://csdl.vietnamtourism.gov.vn/vcgt/?item=45,Hải Châu,,[],45,"Công viên Vườn tượng APEC Địa chỉ: Nằm ở giao lộ đường Bạch Đằng và đường 2/9, Quận Hải Châu, Thành phố Đà Nẵng",Công viên Vườn tượng APEC,,vcgt,,16.059701,108.220362
"Đường Hùng Vương, Bàn Thạch, Thành phố Tam Kỳ, Quảng Nam",entertainment,Đà Nẵng,"Quảng trường 24 tháng 3 với đích mục tạo không gian kiến trúc cảnh quan và không gian sinh hoạt, vui chơi giải trí của nhân dân thành phố; Đồng thời, là công trình phục vụ các sự kiện chính trị - văn hóa - xã hội của tỉnh và thành phố.",https://csdl.vietnamtourism.gov.vn/vcgt/?item=150,,,[],150,"Công viên Quảng trường 24-3 Địa chỉ: Đường Hùng Vương, Bàn Thạch, Thành phố Tam Kỳ, Quảng Nam",Công viên Quảng trường 24-3,,vcgt,,15.581791,108.46888
"66 Bạch Đằng, Thành phố Hội An, Quảng Nam",entertainment,Đà Nẵng,"Nhà biểu diễn nghệ thuật cổ truyền Hội An là điểm đến mang lại nhiều sự thích thú cho đông đảo du khách trong nước và quốc tế. Hoạt động nghệ thuật cổ truyền góp phần rất lớn trong việc bảo tồn các giá trị văn hoá của địa phương. Nhiều chương trình, tiết mục đặc sắc như hô hát bài chòi, các tiết mục dân ca Quảng Nam, dân ca Trung Trung Bộ và đặc biệt là các làn điệu dân ca quốc tế của 12 nước có mối quan hệ bang giao với Hội An trong quá khứ. Nghệ thuật cổ truyền trở thành một sản phẩm văn hóa phục vụ du lịch tại Hội An và được mời tham gia biểu diễn tại các quốc gia như Hồng Kông, Thái Lan, Ý...",https://csdl.vietnamtourism.gov.vn/vcgt/?item=153,,,[],153,"Nhà biểu diễn nghệ thuật cổ truyền Hội An Địa chỉ: 66 Bạch Đằng, Thành phố Hội An, Quảng Nam Điện thoại cố định: 0235 3861 159",Nhà biểu diễn nghệ thuật cổ truyền Hội An,0235 3861 159,vcgt,,15.876149,108.32968
"nằm cạnh suối khe Thẻ, cách khu di tích Mỹ Sơn khoảng 02 km về hướng Tây Bắc, Huyện Duy Xuyên, Quảng Nam",entertainment,Đà Nẵng,"Nhà trưng bày được đánh giá là có cách trưng bày rất mới mẽ, tuy ít hiện vật bên trong nhưng lại cung cấp cho du khách rất nhiều thông tin. Với cách trưng bày bố trí rất khoa học qua các panô, mô hình minh họa, nội dung và hình ảnh cô đọng và cuốn hút, quý khách dễ dàng tiếp cận tìm hiểu và có một cảm thụ tổng quan về quá trình phát triển cũng như giá trị kiến trúc nghệ thuật đặc sắc của khu di tích quan trọng này.",https://csdl.vietnamtourism.gov.vn/vcgt/?item=156,,,[],156,"Nhà trưng bày Mỹ Sơn Địa chỉ: nằm cạnh suối khe Thẻ, cách khu di tích Mỹ Sơn khoảng 02 km về hướng Tây Bắc, Huyện Duy Xuyên, Quảng Nam",Nhà trưng bày Mỹ Sơn,,vcgt,,15.794175,108.161706
"Đường Trần Hưng Đạo, Quận Sơn Trà, Thành phố Đà Nẵng",entertainment,Đà Nẵng,"Bến du thuyền DHC-Marina tự hào là bến du thuyền quốc tế đầu tiên được xây dựng tại thành phố Đà Nẵng. Khu vực bến đầu tiên mà DHC-Marina đầu tư có vị trí nằm bên bờ sông Hàn, có tầm nhìn rất đẹp ngay giữa lòng thành phố trẻ và năng động này. Điều đó đã tạo nên sức hút rất lớn về quảng bá thương hiệu và truyền thông trong lĩnh vực du lịch và du thuyền. Với vai trò tiên phong trong lĩnh vực bến du thuyền tại thành.",https://csdl.vietnamtourism.gov.vn/vcgt/?item=213,Sơn Trà,,[],213,"Bến du thuyền - DHC Marina Địa chỉ: Đường Trần Hưng Đạo, Quận Sơn Trà, Thành phố Đà Nẵng",Bến du thuyền - DHC Marina,,vcgt,,16.064053,108.229966
"Thôn Phú Túc, Huyện Hòa Vang, Thành phố Đà Nẵng",entertainment,Đà Nẵng,"Suối khoáng nóng tại Núi Thần Tài được khởi nguồn từ đỉnh thiêng Bà Nà và được bao bọc hai bên bởi đồi Thanh Long, đồi Bạch Hổ và phát lộ tại long huyệt thôn Phú Túc. Suối khoáng nóng được tìm thấy như một cơ duyên cho thành phố Đà Nẵng tại thời điểm mà những sản phẩm du lịch sông, núi, biển đã được phát triển và trở nên phổ biến. Dịch vụ nghỉ dưỡng suối khoáng nóng được xem là một sản phẩm khác biệt mang lại những trải nghiệm thú vị và góp phần tái tạo năng lượng, bổ sung khoáng chất. Chính vì thế, bạn không còn phải lo lắng vì làn da khô sau khi ngâm mình trong làn nước biển, ngược lại, bạn sẽ cảm nhận được sự tươi trẻ, “thanh mát” bởi những khoáng chất cần thiết cho cả làn da và cơ thể đã được bổ sung qua làn nước khoáng nóng tự nhiên.",https://csdl.vietnamtourism.gov.vn/vcgt/?item=216,Hòa Vang,sales@nuithantai.vn,[],216,"Công viên suối khoáng nóng núi Thần tài Địa chỉ: Thôn Phú Túc, Huyện Hòa Vang, Thành phố Đà Nẵng Điện thoại cố định: 0236 3729 999 Điện thoại di động: 0941 530 777 Email: sales@nuithantai.vn Website: nuithantai.vn",Công viên suối khoáng nóng núi Thần tài,0236 3729 999 | 0941 530 777,vcgt,nuithantai.vn,15.96763,108.02009
"Khu công viên Đông Nam Đài tưởng niệm, Đường 2/9, Hòa Cường, Quận Hải Châu, Thành phố Đà Nẵng",entertainment,Đà Nẵng,"Với diện tích hơn 35.000 m2, nằm trên trục đường 2/9 ngay trung tâm thành phố Đà Nẵng, Helio Center là một lựa chọn lý tưởng không thể bỏ lỡ của người dân địa phương và du khách.",https://csdl.vietnamtourism.gov.vn/vcgt/?item=219,Hải Châu,,[],219,"Trung tâm giải trí Helio - Helio Center Địa chỉ: Khu công viên Đông Nam Đài tưởng niệm, Đường 2/9, Hòa Cường, Quận Hải Châu, Thành phố Đà Nẵng",Trung tâm giải trí Helio - Helio Center,,vcgt,,16.0544,108.2207
"đường Nguyễn Hoàng, Thành phố Hội An, Quảng Nam",entertainment,Đà Nẵng,"Bên cạnh đó, nhiều du khách còn ghé thăm các khu chợ đêm để mua sắm các món quà lưu niệm. Tại chợ đêm Nguyễn Hoàng, bạn có thể thỏa sức lựa chọn nhiều mặt hàng lưu niệm nổi bật như: Túi vải thổ cẩm, tò he, vòng tay, quần áo, túi xách,… Đa số những sản phẩm này đều được làm thủ công, với các họa tiết là nón lá, áo dài – thể hiện văn hóa người Việt vô cùng đặc trưng.",https://csdl.vietnamtourism.gov.vn/vcgt/?item=321,,,[],321,"Chợ đêm Nguyễn Hoàng Hội An Địa chỉ: đường Nguyễn Hoàng, Thành phố Hội An, Quảng Nam",Chợ đêm Nguyễn Hoàng Hội An,,vcgt,,15.875767,108.324358
